,unique_id,ds,cutoff,NBEATSx,Real_value
14888,ETH,2022-07-14,2022-06-23,0.013722617,0.01715981223980163
14909,ETH,2022-07-15,2022-06-24,0.010484034,0.015513412071371139
14930,ETH,2022-07-16,2022-06-25,0.012556356,0.02375094704828828
14951,ETH,2022-07-17,2022-06-26,0.008908365,0.015406942405858338
14972,ETH,2022-07-18,2022-06-27,0.0066588735,0.020135605729719015
14993,ETH,2022-07-19,2022-06-28,0.010472275,0.018432504265356652
15014,ETH,2022-07-20,2022-06-29,0.0132196965,0.01880083260413129
15035,ETH,2022-07-21,2022-06-30,0.010793742,0.016522949696937267
15056,ETH,2022-07-22,2022-07-01,0.011831088,0.014849782498846673
15077,ETH,2022-07-23,2022-07-02,0.009778928,0.01286498178744653
15098,ETH,2022-07-24,2022-07-03,0.011585685,0.015849247174633308
15119,ETH,2022-07-25,2022-07-04,0.012205172,0.016756671244325786
15140,ETH,2022-07-26,2022-07-05,0.012286629,0.015290952737008458
15161,ETH,2022-07-27,2022-07-06,0.011620465,0.0168374429587573
15182,ETH,2022-07-28,2022-07-07,0.009048478,0.020835723177591716
15203,ETH,2022-07-29,2022-07-08,0.009474341,0.016732673796111354
15224,ETH,2022-07-30,2022-07-09,0.010518737,0.011434797922468156
15245,ETH,2022-07-31,2022-07-10,0.012517918,0.010465868345084063
15266,ETH,2022-08-01,2022-07-11,0.010822155,0.01102238446831106
15287,ETH,2022-08-02,2022-07-12,0.008943589,0.015507281254543218
15308,ETH,2022-08-03,2022-07-13,0.013815636,0.010635587761565072
15329,ETH,2022-08-04,2022-07-14,0.016575925,0.011365930791042105
15350,ETH,2022-08-05,2022-07-15,0.015753873,0.013596866207658273
15371,ETH,2022-08-06,2022-07-16,0.009071078,0.0068634544687074615
15392,ETH,2022-08-07,2022-07-17,0.0101363715,0.006907384125108364
15413,ETH,2022-08-08,2022-07-18,0.012346124,0.010425374281962873
15434,ETH,2022-08-09,2022-07-19,0.009570049,0.009335938267145894
15455,ETH,2022-08-10,2022-07-20,0.010431074,0.018714475963272425
15476,ETH,2022-08-11,2022-07-21,0.014157258,0.011950235628098995
15497,ETH,2022-08-12,2022-07-22,0.010083232,0.00926307583654054
15518,ETH,2022-08-13,2022-07-23,0.005879989,0.008084202441106692
15539,ETH,2022-08-14,2022-07-24,0.0067283344,0.009050468726306547
15560,ETH,2022-08-15,2022-07-25,0.011094283,0.01446315869884747
15581,ETH,2022-08-16,2022-07-26,0.01229981,0.009109689723935223
15602,ETH,2022-08-17,2022-07-27,0.00953703,0.012916045079341921
15623,ETH,2022-08-18,2022-07-28,0.014992206,0.008373560036564838
15644,ETH,2022-08-19,2022-07-29,0.016195562,0.015788153558752686
15665,ETH,2022-08-20,2022-07-30,0.013038551,0.013722398355013612
15686,ETH,2022-08-21,2022-07-31,0.010586021,0.011059604053651953
15707,ETH,2022-08-22,2022-08-01,0.013213864,0.013334842665697448
15728,ETH,2022-08-23,2022-08-02,0.012791971,0.012639063391457594
15749,ETH,2022-08-24,2022-08-03,0.012316344,0.01135908561895599
15770,ETH,2022-08-25,2022-08-04,0.0069316253,0.007864671885295231
15791,ETH,2022-08-26,2022-08-05,0.008943072,0.016735445456805973
15812,ETH,2022-08-27,2022-08-06,0.005525496,0.011231440264164533
15833,ETH,2022-08-28,2022-08-07,0.0063809054,0.009801833023437298
15854,ETH,2022-08-29,2022-08-08,0.0056225443,0.011268643542664639
15875,ETH,2022-08-30,2022-08-09,0.005010441,0.017304698765678462
15896,ETH,2022-08-31,2022-08-10,0.0065999096,0.014748607452359072
15917,ETH,2022-09-01,2022-08-11,0.0034927037,0.012851021439984624
15938,ETH,2022-09-02,2022-08-12,0.003693589,0.012144048060186617
15959,ETH,2022-09-03,2022-08-13,0.00483735,0.007128939121142167
15980,ETH,2022-09-04,2022-08-14,0.0035859672,0.0066599070970288655
16001,ETH,2022-09-05,2022-08-15,0.009044573,0.007512972009042515
16022,ETH,2022-09-06,2022-08-16,0.006859447,0.017221576531016265
16043,ETH,2022-09-07,2022-08-17,0.00960069,0.015064182865434766
16064,ETH,2022-09-08,2022-08-18,0.008793111,0.011259889460292785
16085,ETH,2022-09-09,2022-08-19,0.004080184,0.010832233624709095
16106,ETH,2022-09-10,2022-08-20,0.005626912,0.009079601347191421
16127,ETH,2022-09-11,2022-08-21,0.0028126258,0.00838362331678558
16148,ETH,2022-09-12,2022-08-22,0.0041411947,0.011799580194655055
16169,ETH,2022-09-13,2022-08-23,0.0065284492,0.02092412273872736
16190,ETH,2022-09-14,2022-08-24,0.00545738,0.010851421548021354
16211,ETH,2022-09-15,2022-08-25,0.0063265683,0.020721183462734154
16232,ETH,2022-09-16,2022-08-26,0.008338084,0.012759385956983645
16253,ETH,2022-09-17,2022-08-27,0.010061303,0.008267089565838456
16274,ETH,2022-09-18,2022-08-28,0.010666878,0.012090249961404391
16295,ETH,2022-09-19,2022-08-29,0.011055618,0.01574374679493973
