,unique_id,ds,cutoff,NBEATSx,Real_value
1455,BTC,2022-07-16,2022-06-18,0.012493623,0.008885391936861808
1483,BTC,2022-07-17,2022-06-19,0.012294647,0.008793832328690694
1511,BTC,2022-07-18,2022-06-20,0.0117656775,0.015940055263382227
1539,BTC,2022-07-19,2022-06-21,0.012114966,0.014505464781709628
1567,BTC,2022-07-20,2022-06-22,0.00978926,0.01475158400661286
1595,BTC,2022-07-21,2022-06-23,0.009340278,0.011832507067399467
1623,BTC,2022-07-22,2022-06-24,0.008639269,0.009938552788436403
1651,BTC,2022-07-23,2022-06-25,0.009176524,0.008233426910944306
1679,BTC,2022-07-24,2022-06-26,0.008023759,0.008348950620240351
1707,BTC,2022-07-25,2022-06-27,0.008935467,0.010030551488660102
1735,BTC,2022-07-26,2022-06-28,0.011546049,0.008173548837165881
1763,BTC,2022-07-27,2022-06-29,0.011005409,0.012173438931450196
1791,BTC,2022-07-28,2022-06-30,0.010907728,0.013475050955383948
1819,BTC,2022-07-29,2022-07-01,0.010641589,0.01036981337239408
1847,BTC,2022-07-30,2022-07-02,0.008569974,0.009622829995162672
1875,BTC,2022-07-31,2022-07-03,0.008918356,0.007669982608105298
1903,BTC,2022-08-01,2022-07-04,0.007292131,0.00792048344273376
1931,BTC,2022-08-02,2022-07-05,0.009422305,0.008878543905558417
1959,BTC,2022-08-03,2022-07-06,0.00991099,0.007821511014876662
1987,BTC,2022-08-04,2022-07-07,0.010090162,0.007702030363833027
2015,BTC,2022-08-05,2022-07-08,0.012642455,0.008572737480908026
2043,BTC,2022-08-06,2022-07-09,0.01134167,0.003908029603909874
2071,BTC,2022-08-07,2022-07-10,0.009317502,0.00423246047543523
2099,BTC,2022-08-08,2022-07-11,0.0069945734,0.007042642973060727
2127,BTC,2022-08-09,2022-07-12,0.007843273,0.005759156877218713
2155,BTC,2022-08-10,2022-07-13,0.010158615,0.012005844391419877
2183,BTC,2022-08-11,2022-07-14,0.009803783,0.009193611075559717
2211,BTC,2022-08-12,2022-07-15,0.007854711,0.0063805278082395295
2239,BTC,2022-08-13,2022-07-16,0.009369802,0.005894636843490245
2267,BTC,2022-08-14,2022-07-17,0.009847041,0.005805264434270376
2295,BTC,2022-08-15,2022-07-18,0.011632329,0.010325470218441685
2323,BTC,2022-08-16,2022-07-19,0.013140015,0.0061979336967093925
2351,BTC,2022-08-17,2022-07-20,0.011617786,0.008656294693744
2379,BTC,2022-08-18,2022-07-21,0.010937401,0.0046737277844474305
2407,BTC,2022-08-19,2022-07-22,0.010287626,0.013636186842288862
2435,BTC,2022-08-20,2022-07-23,0.010649493,0.00790845567234465
2463,BTC,2022-08-21,2022-07-24,0.01003612,0.00659681421411465
2491,BTC,2022-08-22,2022-07-25,0.010762669,0.007808548637959284
2519,BTC,2022-08-23,2022-07-26,0.009736748,0.007466931477597744
2547,BTC,2022-08-24,2022-07-27,0.009535773,0.006558995217328215
2575,BTC,2022-08-25,2022-07-28,0.010525532,0.005193836781743487
2603,BTC,2022-08-26,2022-07-29,0.009969077,0.01160191517144599
2631,BTC,2022-08-27,2022-07-30,0.010330045,0.006193544652286733
2659,BTC,2022-08-28,2022-07-31,0.009501709,0.0060213333435991
2687,BTC,2022-08-29,2022-08-01,0.0077160606,0.0066034627055485216
2715,BTC,2022-08-30,2022-08-02,0.011406474,0.0090906628616562
2743,BTC,2022-08-31,2022-08-03,0.0099672945,0.008511491489382758
2771,BTC,2022-09-01,2022-08-04,0.00791743,0.007634344185980454
2799,BTC,2022-09-02,2022-08-05,0.008665648,0.007659935985923093
2827,BTC,2022-09-03,2022-08-06,0.0075619537,0.003663673661931257
2855,BTC,2022-09-04,2022-08-07,0.0063744136,0.004997212619826431
2883,BTC,2022-09-05,2022-08-08,0.0066286586,0.004648385240304617
2911,BTC,2022-09-06,2022-08-09,0.0062170904,0.011952826917848996
2939,BTC,2022-09-07,2022-08-10,0.010652575,0.007687417565605129
2967,BTC,2022-09-08,2022-08-11,0.009418701,0.006663530134789452
2995,BTC,2022-09-09,2022-08-12,0.006610129,0.011313612797475307
3023,BTC,2022-09-10,2022-08-13,0.0058799405,0.007729549126446537
3051,BTC,2022-09-11,2022-08-14,0.0046653543,0.006672953359832645
3079,BTC,2022-09-12,2022-08-15,0.0064776256,0.01062320906166961
3107,BTC,2022-09-13,2022-08-16,0.005702829,0.016043939027114127
3135,BTC,2022-09-14,2022-08-17,0.005837566,0.00913471727731546
3163,BTC,2022-09-15,2022-08-18,0.005785128,0.00881890526084113
3191,BTC,2022-09-16,2022-08-19,0.006511594,0.006856855024230075
3219,BTC,2022-09-17,2022-08-20,0.0066195307,0.005140742023595922
3247,BTC,2022-09-18,2022-08-21,0.0057109054,0.006637062454724784
3275,BTC,2022-09-19,2022-08-22,0.0060604783,0.014648854145958417
3303,BTC,2022-09-20,2022-08-23,0.0057451674,0.009611094460131983
3331,BTC,2022-09-21,2022-08-24,0.0071101817,0.018116747988092572
3359,BTC,2022-09-22,2022-08-25,0.007527996,0.009852701965104068
3387,BTC,2022-09-23,2022-08-26,0.0076146657,0.009375684291532252
3415,BTC,2022-09-24,2022-08-27,0.0071518095,0.005750927354880281
3443,BTC,2022-09-25,2022-08-28,0.008524314,0.0056277499920541485
3471,BTC,2022-09-26,2022-08-29,0.008289372,0.008864183233230233
3499,BTC,2022-09-27,2022-08-30,0.007982156,0.014702875325099455
3527,BTC,2022-09-28,2022-08-31,0.0071025966,0.011597998750769771
3555,BTC,2022-09-29,2022-09-01,0.0063778656,0.009964942258769484
3583,BTC,2022-09-30,2022-09-02,0.007552817,0.010495820881893972
3611,BTC,2022-10-01,2022-09-03,0.007962232,0.003610124585026182
3639,BTC,2022-10-02,2022-09-04,0.008141863,0.004919508106087119
3667,BTC,2022-10-03,2022-09-05,0.008393936,0.006474153604585765
3695,BTC,2022-10-04,2022-09-06,0.008595334,0.006733316620771562
3723,BTC,2022-10-05,2022-09-07,0.008454906,0.007215654315124109
3751,BTC,2022-10-06,2022-09-08,0.008751856,0.006224517688199758
3779,BTC,2022-10-07,2022-09-09,0.0099695735,0.00706527706542354
3807,BTC,2022-10-08,2022-09-10,0.011183143,0.003534098143571044
3835,BTC,2022-10-09,2022-09-11,0.009672922,0.003285858998825638
3863,BTC,2022-10-10,2022-09-12,0.009241166,0.005899755061454747
3891,BTC,2022-10-11,2022-09-13,0.009559503,0.00509095213815362
3919,BTC,2022-10-12,2022-09-14,0.010939738,0.003378054465378809
3947,BTC,2022-10-13,2022-09-15,0.011431533,0.012247990942828012
3975,BTC,2022-10-14,2022-09-16,0.010476869,0.00883609685202976
4003,BTC,2022-10-15,2022-09-17,0.009625272,0.002693908974477163
4031,BTC,2022-10-16,2022-09-18,0.009768364,0.0049345584647092836
4059,BTC,2022-10-17,2022-09-19,0.0113517195,0.004380546753673329
4087,BTC,2022-10-18,2022-09-20,0.009912584,0.005743868950998982
4115,BTC,2022-10-19,2022-09-21,0.0108325975,0.004300971263174425
4143,BTC,2022-10-20,2022-09-22,0.012073553,0.005285537886569041
4171,BTC,2022-10-21,2022-09-23,0.010580901,0.005484502449089059
4199,BTC,2022-10-22,2022-09-24,0.011233084,0.0018001778580591528
4227,BTC,2022-10-23,2022-09-25,0.009511037,0.004452914776822682
4255,BTC,2022-10-24,2022-09-26,0.01128491,0.00400311783333439
4283,BTC,2022-10-25,2022-09-27,0.011122437,0.007224345490495403
4311,BTC,2022-10-26,2022-09-28,0.01178102,0.00830672980748508
