,unique_id,ds,cutoff,NHITS,Real_value
11788,ETH,2022-12-09,2022-12-08,0.008223281,0.006889448205031751
11789,ETH,2022-12-10,2022-12-08,0.008306461,0.003605398532708657
11790,ETH,2022-12-11,2022-12-08,0.008880652,0.0036604978378744486
11791,ETH,2022-12-12,2022-12-08,0.010043044,0.005513163446662178
11792,ETH,2022-12-13,2022-12-08,0.011385806,0.011145256680865497
11793,ETH,2022-12-14,2022-12-08,0.011993169,0.008127043556330914
11794,ETH,2022-12-15,2022-12-08,0.011013767,0.00596463154346033
11795,ETH,2022-12-16,2022-12-08,0.009282218,0.0117455328526873
11796,ETH,2022-12-17,2022-12-08,0.0076498888,0.005302544361021843
11797,ETH,2022-12-18,2022-12-08,0.006670329,0.0052544614875580375
11798,ETH,2022-12-19,2022-12-08,0.0069143856,0.006668186706927687
11799,ETH,2022-12-20,2022-12-08,0.007443006,0.0076334117779356765
11800,ETH,2022-12-21,2022-12-08,0.007685344,0.004581693502883642
11801,ETH,2022-12-22,2022-12-08,0.007234783,0.008034495032288015
11802,ETH,2022-12-23,2022-12-08,0.0060555227,0.004399081696152844
11803,ETH,2022-12-24,2022-12-08,0.0055875937,0.002004088201807217
11804,ETH,2022-12-25,2022-12-08,0.005866796,0.005612314054395345
11805,ETH,2022-12-26,2022-12-08,0.006517806,0.003196493219271456
11806,ETH,2022-12-27,2022-12-08,0.007250131,0.003948236745870464
11807,ETH,2022-12-28,2022-12-08,0.0069160443,0.006289432818222983
11808,ETH,2022-12-29,2022-12-08,0.005806041,0.0038475414073895946
11809,ETH,2022-12-30,2022-12-08,0.004701102,0.003589063882915074
11810,ETH,2022-12-31,2022-12-08,0.004158195,0.0026041769349893526
11811,ETH,2023-01-01,2022-12-08,0.0050369496,0.0020591979002773236
11812,ETH,2023-01-02,2022-12-08,0.006780399,0.004031851003593774
11813,ETH,2023-01-03,2022-12-08,0.00893034,0.0028737166462766022
11814,ETH,2023-01-04,2022-12-08,0.011128792,0.006760570969287136
11815,ETH,2023-01-05,2022-12-08,0.012049024,0.0028668850788248572
11843,ETH,2023-01-06,2022-12-09,0.010994307,0.005029902309708355
11871,ETH,2023-01-07,2022-12-10,0.012023423,0.0017774511604744588
11899,ETH,2023-01-08,2022-12-11,0.010868239,0.00529385681589313
11927,ETH,2023-01-09,2022-12-12,0.0088103935,0.0065169155861432735
11955,ETH,2023-01-10,2022-12-13,0.009247006,0.004469776632928535
11983,ETH,2023-01-11,2022-12-14,0.0064094,0.008382246094154888
12011,ETH,2023-01-12,2022-12-15,0.007851756,0.012467554201832418
12039,ETH,2023-01-13,2022-12-16,0.0044804364,0.007882461905195206
12067,ETH,2023-01-14,2022-12-17,0.004936217,0.020277880226041715
12095,ETH,2023-01-15,2022-12-18,0.0043566227,0.007852945599606974
12123,ETH,2023-01-16,2022-12-19,0.004848768,0.009396104594860987
12151,ETH,2023-01-17,2022-12-20,0.007267087,0.008418293780213323
12179,ETH,2023-01-18,2022-12-21,0.006710734,0.012447490831138013
12207,ETH,2023-01-19,2022-12-22,0.005324057,0.006095824743080508
12235,ETH,2023-01-20,2022-12-23,0.0038819634,0.00867351483162211
12263,ETH,2023-01-21,2022-12-24,0.0036842786,0.009916444911677598
12291,ETH,2023-01-22,2022-12-25,0.0032405038,0.008093880629503359
12319,ETH,2023-01-23,2022-12-26,0.0045687915,0.008983591439979805
12347,ETH,2023-01-24,2022-12-27,0.0051587606,0.00960651949431768
12375,ETH,2023-01-25,2022-12-28,0.006280911,0.012280919234234093
12403,ETH,2023-01-26,2022-12-29,0.004904923,0.008042648568708574
12431,ETH,2023-01-27,2022-12-30,0.008341488,0.008956685817822838
12459,ETH,2023-01-28,2022-12-31,0.007835827,0.005512163158540907
12487,ETH,2023-01-29,2023-01-01,0.009088974,0.008559259995476846
12515,ETH,2023-01-30,2023-01-02,0.0068252473,0.009323226553678485
12543,ETH,2023-01-31,2023-01-03,0.0110062,0.0068764556829570556
12571,ETH,2023-02-01,2023-01-04,0.011276284,0.009309162918671917
12599,ETH,2023-02-02,2023-01-05,0.008810072,0.013415651954596227
12627,ETH,2023-02-03,2023-01-06,0.0084893415,0.007549746591516104
12655,ETH,2023-02-04,2023-01-07,0.0031519618,0.005463067840384497
12683,ETH,2023-02-05,2023-01-08,0.007041861,0.006169047235303655
12711,ETH,2023-02-06,2023-01-09,0.0062795905,0.006952959752583279
12739,ETH,2023-02-07,2023-01-10,0.008151033,0.009124341555671957
12767,ETH,2023-02-08,2023-01-11,0.0101770945,0.006437782311492078
12795,ETH,2023-02-09,2023-01-12,0.011219928,0.011213721459722563
12823,ETH,2023-02-10,2023-01-13,0.005510794,0.008484331235069201
12851,ETH,2023-02-11,2023-01-14,0.0037191778,0.004289793340434577
12879,ETH,2023-02-12,2023-01-15,0.0031314245,0.006000884569186216
12907,ETH,2023-02-13,2023-01-16,0.0071630334,0.008951597514806512
12935,ETH,2023-02-14,2023-01-17,0.0068250713,0.010516600798351572
12963,ETH,2023-02-15,2023-01-18,0.010813622,0.009627292814201077
12991,ETH,2023-02-16,2023-01-19,0.007166977,0.012054074216114008
