,unique_id,ds,cutoff,NBEATSx,Real_value
4662,ETH,2022-04-29,2022-04-28,0.010246,0.00850126475098896
4663,ETH,2022-04-30,2022-04-28,0.010384472,0.008225171821674837
4664,ETH,2022-05-01,2022-04-28,0.010461531,0.009347811715374417
4665,ETH,2022-05-02,2022-04-28,0.011382123,0.009151980890347666
4666,ETH,2022-05-03,2022-04-28,0.010949282,0.0061430900031959786
4667,ETH,2022-05-04,2022-04-28,0.010820644,0.010084982196723172
4668,ETH,2022-05-05,2022-04-28,0.010699444,0.011711471207376025
4675,ETH,2022-05-06,2022-04-29,0.009978653,0.0105324318039616
4682,ETH,2022-05-07,2022-04-30,0.009795655,0.008278868707579028
4689,ETH,2022-05-08,2022-05-01,0.010955944,0.010784281359127405
4696,ETH,2022-05-09,2022-05-02,0.010131778,0.019449078375524786
4703,ETH,2022-05-10,2022-05-03,0.008336165,0.021365705188378135
4710,ETH,2022-05-11,2022-05-04,0.009635353,0.04160877593517811
4717,ETH,2022-05-12,2022-05-05,0.010732468,0.04003202319625506
4724,ETH,2022-05-13,2022-05-06,0.010758657,0.019668058215166113
4731,ETH,2022-05-14,2022-05-07,0.010296414,0.01420461033194528
4738,ETH,2022-05-15,2022-05-08,0.011605576,0.010932805024797904
4745,ETH,2022-05-16,2022-05-09,0.012968712,0.015552151681816324
4752,ETH,2022-05-17,2022-05-10,0.014407177,0.012330833030674572
4759,ETH,2022-05-18,2022-05-11,0.019617561,0.012000316781594468
4766,ETH,2022-05-19,2022-05-12,0.022252314,0.013214788407007039
4773,ETH,2022-05-20,2022-05-13,0.01811094,0.012211681646314521
4780,ETH,2022-05-21,2022-05-14,0.015549671,0.005946584237044197
4787,ETH,2022-05-22,2022-05-15,0.013795173,0.00788093499855203
4794,ETH,2022-05-23,2022-05-16,0.0118813105,0.010291718417762143
4801,ETH,2022-05-24,2022-05-17,0.01231505,0.009575193950513185
4808,ETH,2022-05-25,2022-05-18,0.013003821,0.00951364278869533
4815,ETH,2022-05-26,2022-05-19,0.013529309,0.018916686992677078
4822,ETH,2022-05-27,2022-05-20,0.013762604,0.01768074188437176
4829,ETH,2022-05-28,2022-05-21,0.012874102,0.01036607747419045
4836,ETH,2022-05-29,2022-05-22,0.012111561,0.006712233247673989
4843,ETH,2022-05-30,2022-05-23,0.012644359,0.011677249301813433
4850,ETH,2022-05-31,2022-05-24,0.011843888,0.010767897363693922
4857,ETH,2022-06-01,2022-05-25,0.0115132425,0.013400086699549724
4864,ETH,2022-06-02,2022-05-26,0.014452831,0.009690773040349442
4871,ETH,2022-06-03,2022-05-27,0.014037216,0.010210342314404073
4878,ETH,2022-06-04,2022-05-28,0.012313545,0.006226917846668026
4885,ETH,2022-06-05,2022-05-29,0.013560459,0.007162525071574836
4892,ETH,2022-06-06,2022-05-30,0.01551619,0.009886785126272746
4899,ETH,2022-06-07,2022-05-31,0.015964564,0.019603269703497947
4906,ETH,2022-06-08,2022-06-01,0.014427533,0.0128051545133743
4913,ETH,2022-06-09,2022-06-02,0.014090226,0.006892258410448218
4920,ETH,2022-06-10,2022-06-03,0.012616177,0.012426147641642425
4927,ETH,2022-06-11,2022-06-04,0.011327,0.019790986929464856
4934,ETH,2022-06-12,2022-06-05,0.012154961,0.02127710756222699
4941,ETH,2022-06-13,2022-06-06,0.013047966,0.03527763542622073
4948,ETH,2022-06-14,2022-06-07,0.015231331,0.035481944662919804
4955,ETH,2022-06-15,2022-06-08,0.013883566,0.04507289800957512
4962,ETH,2022-06-16,2022-06-09,0.009950951,0.02234398318993087
4969,ETH,2022-06-17,2022-06-10,0.014126436,0.01881205343297139
4976,ETH,2022-06-18,2022-06-11,0.014022665,0.029744331274362556
4983,ETH,2022-06-19,2022-06-12,0.015493916,0.032489482075634686
4990,ETH,2022-06-20,2022-06-13,0.020455662,0.024427119080317257
4997,ETH,2022-06-21,2022-06-14,0.024611656,0.01698432110958289
5004,ETH,2022-06-22,2022-06-15,0.028045906,0.017156692934488484
5011,ETH,2022-06-23,2022-06-16,0.023442788,0.015293651653230112
5018,ETH,2022-06-24,2022-06-17,0.019179529,0.014755812451114968
5025,ETH,2022-06-25,2022-06-18,0.021936525,0.01386767173737999
5032,ETH,2022-06-26,2022-06-19,0.022534069,0.013356208682747662
5039,ETH,2022-06-27,2022-06-20,0.022787783,0.011809127608249814
5046,ETH,2022-06-28,2022-06-21,0.019464832,0.012848731891188996
5053,ETH,2022-06-29,2022-06-22,0.019162688,0.012501590576834056
5060,ETH,2022-06-30,2022-06-23,0.018593213,0.02026792818628445
5067,ETH,2022-07-01,2022-06-24,0.017903402,0.018226021302431502
5074,ETH,2022-07-02,2022-06-25,0.018336855,0.010474422259987294
5081,ETH,2022-07-03,2022-06-26,0.020336613,0.011164718755646836
5088,ETH,2022-07-04,2022-06-27,0.017942024,0.01472665442450379
5095,ETH,2022-07-05,2022-06-28,0.02070824,0.014470710737981677
5102,ETH,2022-07-06,2022-06-29,0.018981364,0.014403815582794651
5109,ETH,2022-07-07,2022-06-30,0.020478316,0.011088415783985861
5116,ETH,2022-07-08,2022-07-01,0.018864766,0.01472842702751668
5123,ETH,2022-07-09,2022-07-02,0.018311786,0.007144219981616526
5130,ETH,2022-07-10,2022-07-03,0.016829925,0.008914254458119934
5137,ETH,2022-07-11,2022-07-04,0.017317973,0.01073856543889006
5144,ETH,2022-07-12,2022-07-05,0.016453344,0.010611080189038571
5151,ETH,2022-07-13,2022-07-06,0.01545668,0.020833582080328646
5158,ETH,2022-07-14,2022-07-07,0.015274035,0.01715981223980163
5165,ETH,2022-07-15,2022-07-08,0.017265817,0.015513412071371139
5172,ETH,2022-07-16,2022-07-09,0.015772365,0.02375094704828828
5179,ETH,2022-07-17,2022-07-10,0.016114507,0.015406942405858338
5186,ETH,2022-07-18,2022-07-11,0.016705817,0.020135605729719015
5193,ETH,2022-07-19,2022-07-12,0.014529015,0.018432504265356652
5200,ETH,2022-07-20,2022-07-13,0.018073171,0.01880083260413129
5207,ETH,2022-07-21,2022-07-14,0.017710486,0.016522949696937267
5214,ETH,2022-07-22,2022-07-15,0.017253097,0.014849782498846673
5221,ETH,2022-07-23,2022-07-16,0.019674279,0.01286498178744653
5228,ETH,2022-07-24,2022-07-17,0.017791882,0.015849247174633308
5235,ETH,2022-07-25,2022-07-18,0.018852733,0.016756671244325786
5242,ETH,2022-07-26,2022-07-19,0.020658199,0.015290952737008458
5249,ETH,2022-07-27,2022-07-20,0.02000553,0.0168374429587573
5256,ETH,2022-07-28,2022-07-21,0.018358149,0.020835723177591716
5263,ETH,2022-07-29,2022-07-22,0.017072946,0.016732673796111354
5270,ETH,2022-07-30,2022-07-23,0.01650644,0.011434797922468156
5277,ETH,2022-07-31,2022-07-24,0.017644176,0.010465868345084063
5284,ETH,2022-08-01,2022-07-25,0.01761265,0.01102238446831106
5291,ETH,2022-08-02,2022-07-26,0.017301816,0.015507281254543218
5298,ETH,2022-08-03,2022-07-27,0.018324904,0.010635587761565072
5305,ETH,2022-08-04,2022-07-28,0.019831145,0.011365930791042105
5312,ETH,2022-08-05,2022-07-29,0.018707631,0.013596866207658273
5319,ETH,2022-08-06,2022-07-30,0.016103877,0.0068634544687074615
5326,ETH,2022-08-07,2022-07-31,0.015672509,0.006907384125108364
5333,ETH,2022-08-08,2022-08-01,0.015211351,0.010425374281962873
5340,ETH,2022-08-09,2022-08-02,0.017518751,0.009335938267145894
5347,ETH,2022-08-10,2022-08-03,0.014646666,0.018714475963272425
5354,ETH,2022-08-11,2022-08-04,0.015829742,0.011950235628098995
5361,ETH,2022-08-12,2022-08-05,0.016727049,0.00926307583654054
5368,ETH,2022-08-13,2022-08-06,0.015026051,0.008084202441106692
5375,ETH,2022-08-14,2022-08-07,0.0155311655,0.009050468726306547
5382,ETH,2022-08-15,2022-08-08,0.01657119,0.01446315869884747
5389,ETH,2022-08-16,2022-08-09,0.014091143,0.009109689723935223
5396,ETH,2022-08-17,2022-08-10,0.016890775,0.012916045079341921
5403,ETH,2022-08-18,2022-08-11,0.0148958545,0.008373560036564838
5410,ETH,2022-08-19,2022-08-12,0.013547698,0.015788153558752686
5417,ETH,2022-08-20,2022-08-13,0.013525397,0.013722398355013612
5424,ETH,2022-08-21,2022-08-14,0.012242504,0.011059604053651953
5431,ETH,2022-08-22,2022-08-15,0.014520249,0.013334842665697448
5438,ETH,2022-08-23,2022-08-16,0.012317928,0.012639063391457594
5445,ETH,2022-08-24,2022-08-17,0.013957609,0.01135908561895599
5452,ETH,2022-08-25,2022-08-18,0.011202849,0.007864671885295231
5459,ETH,2022-08-26,2022-08-19,0.013838939,0.016735445456805973
5466,ETH,2022-08-27,2022-08-20,0.014106458,0.011231440264164533
5473,ETH,2022-08-28,2022-08-21,0.013227459,0.009801833023437298
5480,ETH,2022-08-29,2022-08-22,0.014327954,0.011268643542664639
5487,ETH,2022-08-30,2022-08-23,0.013643095,0.017304698765678462
5494,ETH,2022-08-31,2022-08-24,0.012528269,0.014748607452359072
5501,ETH,2022-09-01,2022-08-25,0.01195153,0.012851021439984624
5508,ETH,2022-09-02,2022-08-26,0.013178406,0.012144048060186617
5515,ETH,2022-09-03,2022-08-27,0.012269344,0.007128939121142167
5522,ETH,2022-09-04,2022-08-28,0.011764245,0.0066599070970288655
5529,ETH,2022-09-05,2022-08-29,0.013082443,0.007512972009042515
5536,ETH,2022-09-06,2022-08-30,0.015424689,0.017221576531016265
5543,ETH,2022-09-07,2022-08-31,0.013418602,0.015064182865434766
5550,ETH,2022-09-08,2022-09-01,0.013701353,0.011259889460292785
5557,ETH,2022-09-09,2022-09-02,0.01392417,0.010832233624709095
5564,ETH,2022-09-10,2022-09-03,0.011703858,0.009079601347191421
5571,ETH,2022-09-11,2022-09-04,0.011003717,0.00838362331678558
5578,ETH,2022-09-12,2022-09-05,0.011267071,0.011799580194655055
5585,ETH,2022-09-13,2022-09-06,0.014778327,0.02092412273872736
5592,ETH,2022-09-14,2022-09-07,0.014634083,0.010851421548021354
5599,ETH,2022-09-15,2022-09-08,0.014470536,0.020721183462734154
5606,ETH,2022-09-16,2022-09-09,0.014064511,0.012759385956983645
5613,ETH,2022-09-17,2022-09-10,0.013419044,0.008267089565838456
5620,ETH,2022-09-18,2022-09-11,0.012084634,0.012090249961404391
5627,ETH,2022-09-19,2022-09-12,0.013241464,0.01574374679493973
5634,ETH,2022-09-20,2022-09-13,0.01607462,0.01243609944285575
5641,ETH,2022-09-21,2022-09-14,0.013477625,0.023137610316411445
5648,ETH,2022-09-22,2022-09-15,0.017286684,0.013786448695871803
5655,ETH,2022-09-23,2022-09-16,0.015133518,0.014585998823547797
5662,ETH,2022-09-24,2022-09-17,0.012699067,0.007694953663306726
5669,ETH,2022-09-25,2022-09-18,0.014974346,0.00826994476565215
5676,ETH,2022-09-26,2022-09-19,0.015950643,0.011102482177659197
5683,ETH,2022-09-27,2022-09-20,0.014407873,0.012025500680119618
5690,ETH,2022-09-28,2022-09-21,0.018092426,0.014507951440882913
5697,ETH,2022-09-29,2022-09-22,0.015229151,0.011219899158116779
5704,ETH,2022-09-30,2022-09-23,0.014848706,0.009770899021849187
5711,ETH,2022-10-01,2022-09-24,0.013280984,0.0046271489301187374
5718,ETH,2022-10-02,2022-09-25,0.0124458885,0.007245662986715841
5725,ETH,2022-10-03,2022-09-26,0.014717827,0.007903741790643737
5732,ETH,2022-10-04,2022-09-27,0.012969388,0.006271187356350944
5739,ETH,2022-10-05,2022-09-28,0.015284228,0.0072746468618398626
5746,ETH,2022-10-06,2022-09-29,0.01255656,0.007851080371770663
5753,ETH,2022-10-07,2022-09-30,0.013363142,0.006633776839790514
5760,ETH,2022-10-08,2022-10-01,0.012764964,0.004533612045985385
5767,ETH,2022-10-09,2022-10-02,0.014860243,0.0038800392212078876
5774,ETH,2022-10-10,2022-10-03,0.01346376,0.006516939296208988
5781,ETH,2022-10-11,2022-10-04,0.012161889,0.006951221486153917
5788,ETH,2022-10-12,2022-10-05,0.010836668,0.005133986368639748
5795,ETH,2022-10-13,2022-10-06,0.010855971,0.015959000245874513
5802,ETH,2022-10-14,2022-10-07,0.009551387,0.010008090325108266
