,unique_id,ds,cutoff,NBEATSx,Real_value
18060,ETH,2022-04-29,2022-04-28,0.009253868,0.00850126475098896
18061,ETH,2022-04-30,2022-04-28,0.009620248,0.008225171821674837
18062,ETH,2022-05-01,2022-04-28,0.010225456,0.009347811715374417
18063,ETH,2022-05-02,2022-04-28,0.009905429,0.009151980890347666
18064,ETH,2022-05-03,2022-04-28,0.010470946,0.0061430900031959786
18065,ETH,2022-05-04,2022-04-28,0.01157195,0.010084982196723172
18066,ETH,2022-05-05,2022-04-28,0.010596968,0.011711471207376025
18067,ETH,2022-05-06,2022-04-28,0.009443825,0.0105324318039616
18068,ETH,2022-05-07,2022-04-28,0.009702183,0.008278868707579028
18069,ETH,2022-05-08,2022-04-28,0.010409956,0.010784281359127405
18070,ETH,2022-05-09,2022-04-28,0.011081166,0.019449078375524786
18071,ETH,2022-05-10,2022-04-28,0.010415498,0.021365705188378135
18072,ETH,2022-05-11,2022-04-28,0.010994271,0.04160877593517811
18073,ETH,2022-05-12,2022-04-28,0.01049996,0.04003202319625506
18074,ETH,2022-05-13,2022-04-28,0.010434475,0.019668058215166113
18075,ETH,2022-05-14,2022-04-28,0.009900869,0.01420461033194528
18076,ETH,2022-05-15,2022-04-28,0.009950615,0.010932805024797904
18077,ETH,2022-05-16,2022-04-28,0.010597927,0.015552151681816324
18078,ETH,2022-05-17,2022-04-28,0.01056065,0.012330833030674572
18079,ETH,2022-05-18,2022-04-28,0.011950562,0.012000316781594468
18080,ETH,2022-05-19,2022-04-28,0.011808968,0.013214788407007039
18081,ETH,2022-05-20,2022-04-28,0.010524036,0.012211681646314521
18082,ETH,2022-05-21,2022-04-28,0.009486545,0.005946584237044197
18083,ETH,2022-05-22,2022-04-28,0.009576208,0.00788093499855203
18084,ETH,2022-05-23,2022-04-28,0.010297963,0.010291718417762143
18085,ETH,2022-05-24,2022-04-28,0.009869156,0.009575193950513185
18086,ETH,2022-05-25,2022-04-28,0.011231131,0.00951364278869533
18087,ETH,2022-05-26,2022-04-28,0.010541953,0.018916686992677078
18115,ETH,2022-05-27,2022-04-29,0.008693276,0.01768074188437176
18143,ETH,2022-05-28,2022-04-30,0.0057080532,0.01036607747419045
18171,ETH,2022-05-29,2022-05-01,0.008272214,0.006712233247673989
18199,ETH,2022-05-30,2022-05-02,0.01047531,0.011677249301813433
18227,ETH,2022-05-31,2022-05-03,0.008923784,0.010767897363693922
18255,ETH,2022-06-01,2022-05-04,0.010421886,0.013400086699549724
18283,ETH,2022-06-02,2022-05-05,0.010818227,0.009690773040349442
18311,ETH,2022-06-03,2022-05-06,0.008864643,0.010210342314404073
18339,ETH,2022-06-04,2022-05-07,0.009639633,0.006226917846668026
18367,ETH,2022-06-05,2022-05-08,0.00887741,0.007162525071574836
18395,ETH,2022-06-06,2022-05-09,0.008900629,0.009886785126272746
18423,ETH,2022-06-07,2022-05-10,0.012141852,0.019603269703497947
18451,ETH,2022-06-08,2022-05-11,0.011926968,0.0128051545133743
18479,ETH,2022-06-09,2022-05-12,0.016402928,0.006892258410448218
18507,ETH,2022-06-10,2022-05-13,0.01641659,0.012426147641642425
18535,ETH,2022-06-11,2022-05-14,0.013477379,0.019790986929464856
18563,ETH,2022-06-12,2022-05-15,0.013565318,0.02127710756222699
18591,ETH,2022-06-13,2022-05-16,0.015637305,0.03527763542622073
18619,ETH,2022-06-14,2022-05-17,0.014070209,0.035481944662919804
18647,ETH,2022-06-15,2022-05-18,0.018587327,0.04507289800957512
18675,ETH,2022-06-16,2022-05-19,0.015430581,0.02234398318993087
18703,ETH,2022-06-17,2022-05-20,0.009913306,0.01881205343297139
18731,ETH,2022-06-18,2022-05-21,0.010575641,0.029744331274362556
18759,ETH,2022-06-19,2022-05-22,0.010824385,0.032489482075634686
18787,ETH,2022-06-20,2022-05-23,0.012861796,0.024427119080317257
18815,ETH,2022-06-21,2022-05-24,0.012241786,0.01698432110958289
18843,ETH,2022-06-22,2022-05-25,0.013800991,0.017156692934488484
18871,ETH,2022-06-23,2022-05-26,0.012696547,0.015293651653230112
18899,ETH,2022-06-24,2022-05-27,0.008782649,0.014755812451114968
18927,ETH,2022-06-25,2022-05-28,0.0039139586,0.01386767173737999
18955,ETH,2022-06-26,2022-05-29,0.0073471023,0.013356208682747662
18983,ETH,2022-06-27,2022-05-30,0.008055468,0.011809127608249814
19011,ETH,2022-06-28,2022-05-31,0.0075701233,0.012848731891188996
19039,ETH,2022-06-29,2022-06-01,0.009673286,0.012501590576834056
19067,ETH,2022-06-30,2022-06-02,0.007939373,0.02026792818628445
19095,ETH,2022-07-01,2022-06-03,0.0054833656,0.018226021302431502
19123,ETH,2022-07-02,2022-06-04,0.0036058608,0.010474422259987294
19151,ETH,2022-07-03,2022-06-05,0.004997605,0.011164718755646836
19179,ETH,2022-07-04,2022-06-06,0.00754008,0.01472665442450379
19207,ETH,2022-07-05,2022-06-07,0.011696847,0.014470710737981677
19235,ETH,2022-07-06,2022-06-08,0.009342821,0.014403815582794651
19263,ETH,2022-07-07,2022-06-09,0.010097525,0.011088415783985861
19291,ETH,2022-07-08,2022-06-10,0.012428921,0.01472842702751668
19319,ETH,2022-07-09,2022-06-11,0.014123648,0.007144219981616526
19347,ETH,2022-07-10,2022-06-12,0.012390749,0.008914254458119934
19375,ETH,2022-07-11,2022-06-13,0.011790647,0.01073856543889006
19403,ETH,2022-07-12,2022-06-14,0.014012736,0.010611080189038571
19431,ETH,2022-07-13,2022-06-15,0.014940489,0.020833582080328646
19459,ETH,2022-07-14,2022-06-16,0.013899153,0.01715981223980163
19487,ETH,2022-07-15,2022-06-17,0.008439881,0.015513412071371139
19515,ETH,2022-07-16,2022-06-18,0.008248436,0.02375094704828828
19543,ETH,2022-07-17,2022-06-19,0.011980974,0.015406942405858338
19571,ETH,2022-07-18,2022-06-20,0.008563154,0.020135605729719015
19599,ETH,2022-07-19,2022-06-21,0.006735627,0.018432504265356652
19627,ETH,2022-07-20,2022-06-22,0.008286278,0.01880083260413129
19655,ETH,2022-07-21,2022-06-23,0.0072045606,0.016522949696937267
19683,ETH,2022-07-22,2022-06-24,0.006267967,0.014849782498846673
19711,ETH,2022-07-23,2022-06-25,0.0072022006,0.01286498178744653
19739,ETH,2022-07-24,2022-06-26,0.009004006,0.015849247174633308
19767,ETH,2022-07-25,2022-06-27,0.011176099,0.016756671244325786
19795,ETH,2022-07-26,2022-06-28,0.010899805,0.015290952737008458
19823,ETH,2022-07-27,2022-06-29,0.0125784995,0.0168374429587573
19851,ETH,2022-07-28,2022-06-30,0.011540028,0.020835723177591716
19879,ETH,2022-07-29,2022-07-01,0.008925188,0.016732673796111354
19907,ETH,2022-07-30,2022-07-02,0.006571188,0.011434797922468156
19935,ETH,2022-07-31,2022-07-03,0.008381534,0.010465868345084063
19963,ETH,2022-08-01,2022-07-04,0.01177953,0.01102238446831106
19991,ETH,2022-08-02,2022-07-05,0.013239286,0.015507281254543218
20019,ETH,2022-08-03,2022-07-06,0.012249643,0.010635587761565072
20047,ETH,2022-08-04,2022-07-07,0.00969953,0.011365930791042105
20075,ETH,2022-08-05,2022-07-08,0.011671743,0.013596866207658273
20103,ETH,2022-08-06,2022-07-09,0.0033845361,0.0068634544687074615
20131,ETH,2022-08-07,2022-07-10,0.0040119127,0.006907384125108364
20159,ETH,2022-08-08,2022-07-11,0.007032015,0.010425374281962873
20187,ETH,2022-08-09,2022-07-12,0.011653226,0.009335938267145894
20215,ETH,2022-08-10,2022-07-13,0.012386636,0.018714475963272425
20243,ETH,2022-08-11,2022-07-14,0.013893512,0.011950235628098995
20271,ETH,2022-08-12,2022-07-15,0.011108636,0.00926307583654054
20299,ETH,2022-08-13,2022-07-16,0.008547356,0.008084202441106692
20327,ETH,2022-08-14,2022-07-17,0.009575451,0.009050468726306547
20355,ETH,2022-08-15,2022-07-18,0.012636227,0.01446315869884747
20383,ETH,2022-08-16,2022-07-19,0.016758574,0.009109689723935223
20411,ETH,2022-08-17,2022-07-20,0.01626346,0.012916045079341921
20439,ETH,2022-08-18,2022-07-21,0.01639323,0.008373560036564838
20467,ETH,2022-08-19,2022-07-22,0.01347545,0.015788153558752686
20495,ETH,2022-08-20,2022-07-23,0.011651166,0.013722398355013612
20523,ETH,2022-08-21,2022-07-24,0.009403269,0.011059604053651953
20551,ETH,2022-08-22,2022-07-25,0.013525167,0.013334842665697448
20579,ETH,2022-08-23,2022-07-26,0.011819038,0.012639063391457594
20607,ETH,2022-08-24,2022-07-27,0.012528631,0.01135908561895599
20635,ETH,2022-08-25,2022-07-28,0.010823354,0.007864671885295231
20663,ETH,2022-08-26,2022-07-29,0.010166681,0.016735445456805973
20691,ETH,2022-08-27,2022-07-30,0.007712772,0.011231440264164533
20719,ETH,2022-08-28,2022-07-31,0.015022222,0.009801833023437298
20747,ETH,2022-08-29,2022-08-01,0.015888758,0.011268643542664639
20775,ETH,2022-08-30,2022-08-02,0.013625955,0.017304698765678462
20803,ETH,2022-08-31,2022-08-03,0.014237766,0.014748607452359072
20831,ETH,2022-09-01,2022-08-04,0.008685746,0.012851021439984624
20859,ETH,2022-09-02,2022-08-05,0.008947977,0.012144048060186617
20887,ETH,2022-09-03,2022-08-06,0.008350882,0.007128939121142167
20915,ETH,2022-09-04,2022-08-07,0.0043688146,0.0066599070970288655
20943,ETH,2022-09-05,2022-08-08,0.0072098086,0.007512972009042515
20971,ETH,2022-09-06,2022-08-09,0.0054986514,0.017221576531016265
20999,ETH,2022-09-07,2022-08-10,0.013136828,0.015064182865434766
21027,ETH,2022-09-08,2022-08-11,0.006830305,0.011259889460292785
21055,ETH,2022-09-09,2022-08-12,0.0031995447,0.010832233624709095
21083,ETH,2022-09-10,2022-08-13,0.0033340445,0.009079601347191421
21111,ETH,2022-09-11,2022-08-14,0.004581183,0.00838362331678558
21139,ETH,2022-09-12,2022-08-15,0.0056178262,0.011799580194655055
21167,ETH,2022-09-13,2022-08-16,0.004842221,0.02092412273872736
21195,ETH,2022-09-14,2022-08-17,0.0047402093,0.010851421548021354
21223,ETH,2022-09-15,2022-08-18,0.0057026604,0.020721183462734154
21251,ETH,2022-09-16,2022-08-19,0.0031385878,0.012759385956983645
21279,ETH,2022-09-17,2022-08-20,0.006029057,0.008267089565838456
21307,ETH,2022-09-18,2022-08-21,0.009518457,0.012090249961404391
21335,ETH,2022-09-19,2022-08-22,0.010435931,0.01574374679493973
21363,ETH,2022-09-20,2022-08-23,0.012399795,0.01243609944285575
21391,ETH,2022-09-21,2022-08-24,0.012589827,0.023137610316411445
21419,ETH,2022-09-22,2022-08-25,0.0126800155,0.013786448695871803
21447,ETH,2022-09-23,2022-08-26,0.01236501,0.014585998823547797
21475,ETH,2022-09-24,2022-08-27,0.011532588,0.007694953663306726
21503,ETH,2022-09-25,2022-08-28,0.011009601,0.00826994476565215
21531,ETH,2022-09-26,2022-08-29,0.013591098,0.011102482177659197
21559,ETH,2022-09-27,2022-08-30,0.012804218,0.012025500680119618
21587,ETH,2022-09-28,2022-08-31,0.011653017,0.014507951440882913
21615,ETH,2022-09-29,2022-09-01,0.010931585,0.011219899158116779
21643,ETH,2022-09-30,2022-09-02,0.012298598,0.009770899021849187
21671,ETH,2022-10-01,2022-09-03,0.008206004,0.0046271489301187374
21699,ETH,2022-10-02,2022-09-04,0.008515225,0.007245662986715841
21727,ETH,2022-10-03,2022-09-05,0.010709098,0.007903741790643737
21755,ETH,2022-10-04,2022-09-06,0.012114639,0.006271187356350944
21783,ETH,2022-10-05,2022-09-07,0.014258495,0.0072746468618398626
21811,ETH,2022-10-06,2022-09-08,0.012954631,0.007851080371770663
21839,ETH,2022-10-07,2022-09-09,0.0131288925,0.006633776839790514
21867,ETH,2022-10-08,2022-09-10,0.013535643,0.004533612045985385
21895,ETH,2022-10-09,2022-09-11,0.011425798,0.0038800392212078876
21923,ETH,2022-10-10,2022-09-12,0.011875377,0.006516939296208988
21951,ETH,2022-10-11,2022-09-13,0.01157044,0.006951221486153917
21979,ETH,2022-10-12,2022-09-14,0.013496127,0.005133986368639748
22007,ETH,2022-10-13,2022-09-15,0.014784941,0.015959000245874513
22035,ETH,2022-10-14,2022-09-16,0.016488038,0.010008090325108266
22063,ETH,2022-10-15,2022-09-17,0.011589479,0.004901710095235852
22091,ETH,2022-10-16,2022-09-18,0.012887063,0.007148739848184154
22119,ETH,2022-10-17,2022-09-19,0.01619585,0.005586092273473334
22147,ETH,2022-10-18,2022-09-20,0.013389735,0.007383721356028725
22175,ETH,2022-10-19,2022-09-21,0.0170385,0.005726210497508795
