,unique_id,ds,cutoff,NBEATSx,Real_value,NHITS
67,ETH,2022-07-05,2022-06-14,0.0111237075,0.0144707107379816,0.0114024505
68,ETH,2022-07-06,2022-06-15,0.016707717,0.0144038155827946,0.0144559285
69,ETH,2022-07-07,2022-06-16,0.018424638,0.0110884157839858,0.0139802825
70,ETH,2022-07-08,2022-06-17,0.017585143,0.0147284270275166,0.013474676
71,ETH,2022-07-09,2022-06-18,0.012121396,0.0071442199816165,0.015057931
72,ETH,2022-07-10,2022-06-19,0.013289414,0.0089142544581199,0.015081973
73,ETH,2022-07-11,2022-06-20,0.012333567,0.01073856543889,0.013344876
74,ETH,2022-07-12,2022-06-21,0.013531942,0.0106110801890385,0.011735016
75,ETH,2022-07-13,2022-06-22,0.012488301,0.0208335820803286,0.009823569
76,ETH,2022-07-14,2022-06-23,0.013722617,0.0171598122398016,0.011002659
77,ETH,2022-07-15,2022-06-24,0.010484034,0.0155134120713711,0.010775854
78,ETH,2022-07-16,2022-06-25,0.012556356,0.0237509470482882,0.011516361
79,ETH,2022-07-17,2022-06-26,0.008908365,0.0154069424058583,0.0134346
80,ETH,2022-07-18,2022-06-27,0.0066588735,0.020135605729719,0.010883305
81,ETH,2022-07-19,2022-06-28,0.010472275,0.0184325042653566,0.012488321
82,ETH,2022-07-20,2022-06-29,0.0132196965,0.0188008326041312,0.011524081
83,ETH,2022-07-21,2022-06-30,0.010793742,0.0165229496969372,0.01117426
84,ETH,2022-07-22,2022-07-01,0.011831088,0.0148497824988466,0.013946253
85,ETH,2022-07-23,2022-07-02,0.009778928,0.0128649817874465,0.01647973
86,ETH,2022-07-24,2022-07-03,0.011585685,0.0158492471746333,0.017948117
87,ETH,2022-07-25,2022-07-04,0.012205172,0.0167566712443257,0.016960688
88,ETH,2022-07-26,2022-07-05,0.012286629,0.0152909527370084,0.0148148285
89,ETH,2022-07-27,2022-07-06,0.011620465,0.0168374429587573,0.016554326
90,ETH,2022-07-28,2022-07-07,0.009048478,0.0208357231775917,0.013534615
