,unique_id,ds,cutoff,NHITS,Real_value
0,BTC,2022-04-29,2022-04-28,0.008901421,0.007457786580099371
1,BTC,2022-04-30,2022-04-28,0.008980788,0.005442896739920222
2,BTC,2022-05-01,2022-04-28,0.00903591,0.007540018039389996
3,BTC,2022-05-02,2022-04-28,0.009015059,0.007785433454798023
4,BTC,2022-05-03,2022-04-28,0.009021856,0.0051109313665430875
5,BTC,2022-05-04,2022-04-28,0.008976208,0.007769472055470699
6,BTC,2022-05-05,2022-04-28,0.008895343,0.012345491309842404
7,BTC,2022-05-06,2022-04-28,0.00880483,0.008933187451255391
8,BTC,2022-05-07,2022-04-28,0.008687437,0.007161568984853121
9,BTC,2022-05-08,2022-04-28,0.008555522,0.00954634087675491
10,BTC,2022-05-09,2022-04-28,0.008446705,0.017548761345909533
11,BTC,2022-05-10,2022-04-28,0.0084208995,0.019765491443525445
12,BTC,2022-05-11,2022-04-28,0.008440485,0.033648370566429595
13,BTC,2022-05-12,2022-04-28,0.008281147,0.029890492585849228
14,BTC,2022-05-13,2022-04-28,0.008083155,0.015466224206770428
15,BTC,2022-05-14,2022-04-28,0.008237216,0.01195376542550756
16,BTC,2022-05-15,2022-04-28,0.008603061,0.010378170117654488
17,BTC,2022-05-16,2022-04-28,0.008747525,0.013481059957886055
18,BTC,2022-05-17,2022-04-28,0.008848051,0.010260367216851805
19,BTC,2022-05-18,2022-04-28,0.009234747,0.009657862292070022
20,BTC,2022-05-19,2022-04-28,0.009730171,0.010042510509422635
21,BTC,2022-05-20,2022-04-28,0.010258363,0.010714755611841917
22,BTC,2022-05-21,2022-04-28,0.010419419,0.004817360977505108
23,BTC,2022-05-22,2022-04-28,0.01024887,0.007763228852847239
24,BTC,2022-05-23,2022-04-28,0.010146616,0.009222038108099191
25,BTC,2022-05-24,2022-04-28,0.00989742,0.007527076373045803
26,BTC,2022-05-25,2022-04-28,0.009632241,0.007989723281402981
27,BTC,2022-05-26,2022-04-28,0.009565126,0.011579868523878075
55,BTC,2022-05-27,2022-04-29,0.009541864,0.010123111408144623
83,BTC,2022-05-28,2022-04-30,0.008467119,0.005036616182512311
111,BTC,2022-05-29,2022-05-01,0.009390752,0.0043867743706035404
139,BTC,2022-05-30,2022-05-02,0.009697439,0.010985788505857881
167,BTC,2022-05-31,2022-05-03,0.006561647,0.00843062154040176
