,unique_id,ds,cutoff,NBEATSx,Real_value,external_ETH,NHITS
54,BTC,2022-06-22,2022-06-01,0.008667342,0.0104076467461133,0.0121611183049643,0.0074735936
55,BTC,2022-06-23,2022-06-02,0.007159494,0.0087938248973252,0.0110654692890665,0.007000221
56,BTC,2022-06-24,2022-06-03,0.007989408,0.0081497651255087,0.0118623551706201,0.008169979
57,BTC,2022-06-25,2022-06-04,0.008017349,0.0053564217676077,0.0094176848518953,0.0071991878
58,BTC,2022-06-26,2022-06-05,0.0074178837,0.0062617785039377,0.0091431587844452,0.007575194
59,BTC,2022-06-27,2022-06-06,0.008260931,0.0059640148664436,0.0088586313994856,0.008524513
60,BTC,2022-06-28,2022-06-07,0.010229164,0.0057537278849222,0.0090293144982552,0.01041045
61,BTC,2022-06-29,2022-06-08,0.008661024,0.0067288521775275,0.0099720618666188,0.006086879
62,BTC,2022-06-30,2022-06-09,0.0072886436,0.0095915615522675,0.0141657143243661,0.0057197316
63,BTC,2022-07-01,2022-06-10,0.009330362,0.0123310385078541,0.014289331207287,0.0085375495
64,BTC,2022-07-02,2022-06-11,0.007050474,0.0051919702461414,0.0082662874149287,0.006286802
65,BTC,2022-07-03,2022-06-12,0.006258479,0.0072660566338558,0.008731673671902,0.007547968
66,BTC,2022-07-04,2022-06-13,0.0074157612,0.0073485637785482,0.0103477714525711,0.011233622
67,BTC,2022-07-05,2022-06-14,0.009868003,0.008365579505387,0.0105194841152007,0.005810297
68,BTC,2022-07-06,2022-06-15,0.008258235,0.0078032979441793,0.0107604385746059,0.009323355
69,BTC,2022-07-07,2022-06-16,0.00875979,0.0062025118977131,0.0079472297525537,0.004187951
70,BTC,2022-07-08,2022-06-17,0.011059614,0.0102195323054358,0.0111519231670013,0.010909421
71,BTC,2022-07-09,2022-06-18,0.011153811,0.0054852775034169,0.0058866803679092,0.016038055
72,BTC,2022-07-10,2022-06-19,0.011651771,0.0064848851585491,0.0069951888539496,0.012630942
73,BTC,2022-07-11,2022-06-20,0.010299571,0.006145503540999,0.0075614242454161,0.009180512
74,BTC,2022-07-12,2022-06-21,0.011218922,0.0062840412678285,0.0076683021265685,0.0070721973
75,BTC,2022-07-13,2022-06-22,0.01081357,0.0114586493588895,0.0147954922061227,0.009199885
76,BTC,2022-07-14,2022-06-23,0.0097196475,0.0077550752546649,0.0107201492565462,0.0095130615
77,BTC,2022-07-15,2022-06-24,0.01176152,0.0070494052801986,0.0109313681063659,0.010091381
78,BTC,2022-07-16,2022-06-25,0.010302985,0.0059475812214063,0.0173916071970637,0.008503525
79,BTC,2022-07-17,2022-06-26,0.00955275,0.0066997458885413,0.0122400945908188,0.00950836
80,BTC,2022-07-18,2022-06-27,0.008514499,0.0105158633967074,0.0142271330033575,0.007825137
81,BTC,2022-07-19,2022-06-28,0.0073840814,0.0118269802878906,0.0159312324931349,0.008188964
82,BTC,2022-07-20,2022-06-29,0.007941843,0.0103851532305649,0.0138135788445232,0.009296553
83,BTC,2022-07-21,2022-06-30,0.0077019846,0.0082552866044922,0.011468271315793,0.010643287
84,BTC,2022-07-22,2022-07-01,0.012307625,0.0069098481520061,0.010107856507619,0.011794487
85,BTC,2022-07-23,2022-07-02,0.010405054,0.0062464399846519,0.0095415056117963,0.0064595263
86,BTC,2022-07-24,2022-07-03,0.011054433,0.0062710468188223,0.0115962812514073,0.010088266
87,BTC,2022-07-25,2022-07-04,0.011649323,0.0075092292801537,0.0126978506901364,0.009069759
88,BTC,2022-07-26,2022-07-05,0.009433219,0.0063994266694958,0.0112774800688185,0.0087111825
89,BTC,2022-07-27,2022-07-06,0.008306154,0.0078649192473874,0.0116739583024244,0.007827765
90,BTC,2022-07-28,2022-07-07,0.009252808,0.0098644735784493,0.0148013346801769,0.007521801
91,BTC,2022-07-29,2022-07-08,0.009755554,0.0085332117051897,0.0128801952511186,0.011740474
92,BTC,2022-07-30,2022-07-09,0.008678804,0.0062686662225369,0.0089125357415652,0.0071201525
93,BTC,2022-07-31,2022-07-10,0.009859551,0.0065777425328122,0.0089751388396515,0.0095974915
94,BTC,2022-08-01,2022-07-11,0.008377132,0.0058218789928077,0.0086291907696852,0.008827988
95,BTC,2022-08-02,2022-07-12,0.009135299,0.0065947026348026,0.011368455148029,0.008292579
96,BTC,2022-08-03,2022-07-13,0.009156694,0.0056327440710049,0.0080300677022233,0.0111711975
97,BTC,2022-08-04,2022-07-14,0.00848847,0.005826866254452,0.0087240178443612,0.0068132
98,BTC,2022-08-05,2022-07-15,0.0084579205,0.0059941165156998,0.0092357860323012,0.008827753
99,BTC,2022-08-06,2022-07-16,0.0055219904,0.0030960083527422,0.0056896715699391,0.008121483
100,BTC,2022-08-07,2022-07-17,0.008486069,0.0031792407934065,0.0050597318744712,0.008219182
101,BTC,2022-08-08,2022-07-18,0.009107147,0.0049646525473805,0.0070404557612143,0.009485968
102,BTC,2022-08-09,2022-07-19,0.0074736183,0.0044832102914312,0.0070170754693432,0.00803599
103,BTC,2022-08-10,2022-07-20,0.00783291,0.007508530645665,0.0111789290456526,0.0067052213
104,BTC,2022-08-11,2022-07-21,0.0071980767,0.0064709119182459,0.0089335216689988,0.0077069746
105,BTC,2022-08-12,2022-07-22,0.008115306,0.0050929802847488,0.0073007600534674,0.008609644
106,BTC,2022-08-13,2022-07-23,0.007134319,0.0046721375394414,0.0064743168913372,0.0078727715
107,BTC,2022-08-14,2022-07-24,0.0053072646,0.0043489787154191,0.0062280445232864,0.0072636814
108,BTC,2022-08-15,2022-07-25,0.0062245484,0.0068845559725291,0.0099690526087222,0.007262596
109,BTC,2022-08-16,2022-07-26,0.007675461,0.0051184723137968,0.0077314565818697,0.0067774495
110,BTC,2022-08-17,2022-07-27,0.0075594243,0.0053948703001312,0.0083353017707647,0.00976628
111,BTC,2022-08-18,2022-07-28,0.008332506,0.0036822936065521,0.0062528161249542,0.011128473
112,BTC,2022-08-19,2022-07-29,0.010339777,0.0104699680493911,0.0122214613257753,0.009696519
113,BTC,2022-08-20,2022-07-30,0.00949293,0.0059091010123098,0.0095576681783104,0.008224033
114,BTC,2022-08-21,2022-07-31,0.009001375,0.0058099630558459,0.0097256321703202,0.007984667
115,BTC,2022-08-22,2022-08-01,0.008501878,0.0057825465765118,0.0096983096674907,0.007045207
116,BTC,2022-08-23,2022-08-02,0.0076708416,0.0054804579905199,0.0092647365611302,0.0076488336
117,BTC,2022-08-24,2022-08-03,0.0069022244,0.0051674848334682,0.0079519920759302,0.0062221554
118,BTC,2022-08-25,2022-08-04,0.0056039793,0.003935711044099,0.0061980525065735,0.0058574914
119,BTC,2022-08-26,2022-08-05,0.0058448683,0.0071111307665857,0.0109807746988005,0.0056706737
120,BTC,2022-08-27,2022-08-06,0.0066003436,0.0052395308326805,0.0092592967969489,0.0037276943
121,BTC,2022-08-28,2022-08-07,0.006582887,0.0043932605586629,0.0071103564048681,0.0051274044
122,BTC,2022-08-29,2022-08-08,0.006727731,0.0054409784739325,0.0090554322492509,0.0063022785
123,BTC,2022-08-30,2022-08-09,0.0058030183,0.006775715444446,0.0121748806088872,0.0042386553
124,BTC,2022-08-31,2022-08-10,0.004846869,0.0063981188445883,0.0112685610379426,0.0059117246
125,BTC,2022-09-01,2022-08-11,0.0033324095,0.0060051728764346,0.0095955683599151,0.004342906
126,BTC,2022-09-02,2022-08-12,0.0044607935,0.0055909577458191,0.0094751960958653,0.004482313
127,BTC,2022-09-03,2022-08-13,0.0064138477,0.0030026045028789,0.0057454719742827,0.005159057
128,BTC,2022-09-04,2022-08-14,0.006340123,0.0036082087083341,0.0050448900894167,0.0051251585
129,BTC,2022-09-05,2022-08-15,0.0059292163,0.0036507248738198,0.0060838096027877,0.0070114597
130,BTC,2022-09-06,2022-08-16,0.0053640273,0.0078765574470966,0.0116507099366803,0.0052677263
131,BTC,2022-09-07,2022-08-17,0.006857752,0.0055133123936483,0.0100476226447628,0.006121731
132,BTC,2022-09-08,2022-08-18,0.0056917174,0.0052377130468606,0.0092066529236724,0.0047438922
133,BTC,2022-09-09,2022-08-19,0.0077821584,0.0079205246988494,0.0082083296788195,0.010372048
134,BTC,2022-09-10,2022-08-20,0.00702791,0.0054896074134375,0.006643364632095,0.0053807218
135,BTC,2022-09-11,2022-08-21,0.0064777164,0.0051720424793665,0.0064733169692529,0.007004447
136,BTC,2022-09-12,2022-08-22,0.004371592,0.0079554035509042,0.0085831937112138,0.0054790573
137,BTC,2022-09-13,2022-08-23,0.0055503594,0.0106357622720789,0.0134862886357034,0.0045182994
138,BTC,2022-09-14,2022-08-24,0.004290088,0.0068778695401754,0.0088598694278766,0.004749099
